H,W,efficiency,kernel,language,padding,speedup,stride,t_par_sec,t_seq_sec,tiles_per_dim,workers
16,16,0.064163,2,rust,0,0.256652,1,0.000238,0.000061,2,4
24,24,0.286443,2,rust,0,1.145770,1,0.000128,0.000147,2,4
32,32,0.370375,2,rust,0,1.481500,1,0.000191,0.000282,2,4
40,40,0.488567,2,rust,0,1.954268,1,0.000214,0.000417,2,4
48,48,0.443809,2,rust,0,1.775235,1,0.000346,0.000614,2,4
56,56,0.762044,2,rust,0,3.048178,1,0.000353,0.001075,2,4
64,64,0.720210,2,rust,0,2.880841,1,0.000391,0.001125,2,4
80,80,0.762151,2,rust,0,3.048606,1,0.000571,0.001742,2,4
96,96,0.762937,2,rust,0,3.051747,1,0.000818,0.002497,2,4
112,112,0.798495,2,rust,0,3.193980,1,0.001102,0.003520,2,4
128,128,0.764879,2,rust,0,3.059515,1,0.001464,0.004478,2,4
16,16,0.211689,3,rust,0,0.846754,1,0.000140,0.000119,2,4
24,24,0.438514,3,rust,0,1.754056,1,0.000167,0.000293,2,4
32,32,0.541175,3,rust,0,2.164702,1,0.000256,0.000553,2,4
40,40,0.654189,3,rust,0,2.616756,1,0.000331,0.000865,2,4
48,48,0.727267,3,rust,0,2.909069,1,0.000435,0.001264,2,4
56,56,0.682250,3,rust,0,2.728999,1,0.000653,0.001783,2,4
64,64,0.848885,3,rust,0,3.395540,1,0.000766,0.002601,2,4
80,80,0.883331,3,rust,0,3.533325,1,0.001038,0.003666,2,4
96,96,0.797690,3,rust,0,3.190761,1,0.001691,0.005396,2,4
112,112,0.901230,3,rust,0,3.604921,1,0.002023,0.007292,2,4
128,128,0.931491,3,rust,0,3.725966,1,0.002597,0.009677,2,4
16,16,0.307185,5,rust,0,1.228739,1,0.000213,0.000262,2,4
24,24,0.518738,5,rust,0,2.074953,1,0.000406,0.000842,2,4
32,32,0.492698,5,rust,0,1.970793,1,0.000635,0.001251,2,4
40,40,0.458261,5,rust,0,1.833043,1,0.001145,0.002100,2,4
48,48,0.596016,5,rust,0,2.384062,1,0.001416,0.003375,2,4
56,56,0.561884,5,rust,0,2.247537,1,0.001950,0.004384,2,4
64,64,0.829747,5,rust,0,3.318988,1,0.001810,0.006006,2,4
80,80,0.856740,5,rust,0,3.426960,1,0.002715,0.009303,2,4
96,96,0.959251,5,rust,0,3.837005,1,0.003840,0.014734,2,4
112,112,0.712710,5,rust,0,2.850840,1,0.008277,0.023596,2,4
128,128,0.506175,5,rust,0,2.024701,1,0.013031,0.026383,2,4
16,16,0.250129,7,rust,0,1.000516,1,0.000334,0.000334,2,4
24,24,0.507967,7,rust,0,2.031867,1,0.000561,0.001140,2,4
32,32,0.478390,7,rust,0,1.913561,1,0.001202,0.002301,2,4
40,40,0.626638,7,rust,0,2.506552,1,0.001601,0.004013,2,4
48,48,0.583993,7,rust,0,2.335971,1,0.002602,0.006079,2,4
56,56,0.555847,7,rust,0,2.223387,1,0.003910,0.008694,2,4
64,64,0.586502,7,rust,0,2.346010,1,0.004911,0.011521,2,4
80,80,0.477784,7,rust,0,1.911138,1,0.009886,0.018894,2,4
96,96,0.513759,7,rust,0,2.055035,1,0.014114,0.029005,2,4
112,112,0.497701,7,rust,0,1.990805,1,0.020464,0.040740,2,4
128,128,0.660695,7,rust,0,2.642778,1,0.021733,0.057434,2,4
